2025-07-12 10:28:33,255 [INFO] Connecting to 149.154.167.51:443/TcpFull...
2025-07-12 10:28:36,114 [INFO] Connection to 149.154.167.51:443/TcpFull complete!
2025-07-12 10:28:49,231 [INFO] Phone migrated to 4
2025-07-12 10:28:49,414 [INFO] Reconnecting to new data center 4
2025-07-12 10:28:49,560 [INFO] Disconnecting from 149.154.167.51:443/TcpFull...
2025-07-12 10:28:49,561 [INFO] Disconnection from 149.154.167.51:443/TcpFull complete!
2025-07-12 10:28:49,562 [INFO] Connecting to 149.154.167.91:443/TcpFull...
2025-07-12 10:28:51,255 [INFO] Connection to 149.154.167.91:443/TcpFull complete!
2025-07-12 10:29:07,392 [INFO] \U0001f501 Starting lobelia4cosmetics
2025-07-12 10:29:08,229 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:29:09,288 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:29:09,743 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:29:10,860 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:29:11,549 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:29:12,034 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:29:14,439 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:29:15,780 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:29:17,667 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:29:20,378 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:29:23,200 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:29:23,682 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:29:28,997 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:29:33,508 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:29:39,646 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:29:42,891 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:29:43,324 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:29:43,803 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:29:46,341 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:29:46,679 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:29:46,945 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:29:47,324 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:29:47,765 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:29:49,117 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:29:49,703 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:29:53,198 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:29:53,741 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:29:55,055 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:29:56,643 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:29:58,095 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:30:00,232 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:30:01,831 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:30:03,612 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:30:04,235 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:30:06,354 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:30:08,196 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:30:08,610 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:30:09,607 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:30:11,406 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:30:12,211 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:30:12,697 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:30:13,080 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:30:16,226 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:30:21,256 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:30:21,578 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:30:25,383 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:30:26,091 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:30:28,454 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:30:31,311 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:30:31,815 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:30:34,433 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:30:34,963 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:30:37,035 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:30:41,442 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:30:41,779 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:30:43,064 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:30:44,031 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:30:46,244 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:30:47,000 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:30:47,944 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:30:48,444 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:30:49,054 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:30:50,169 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:30:50,663 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:30:51,879 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:30:54,535 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:30:55,816 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:30:56,275 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:30:56,766 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:30:59,149 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:00,697 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:02,588 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:03,679 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:05,185 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:06,639 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:08,173 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:09,694 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:11,188 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:12,548 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:13,876 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:14,733 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:15,757 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 10:31:16,505 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
